seq_id,item_id,card_reason,card_source,source_name,title,url,published_at,summary_snippet
29,item_cd1dcf0c86284550a9144a125f0113aa,local minimal card,minimal_rule,,,,,
30,item_daf34d05c8bb47d0b9369ea243d258f4,local minimal card,minimal_rule,,,,,
31,item_5b3906b3b71247dc8ad03d74de2b3595,local minimal card,minimal_rule,,,,,
32,item_b1c46e376bb24cbf9132a145f3eea0b5,local minimal card,minimal_rule,,,,,
33,item_aa5b619d772346fd937ece0b16221b7a,local minimal card,minimal_rule,,,,,
34,item_7cdec28b086246d2ba9d02f51b57deec,local minimal card,minimal_rule,,,,,
35,item_768aabdeb4d947da8ba1fa65f092eb44,local minimal card,minimal_rule,,,,,
36,item_7d65d424048f4740ad4ffb5fd58f82ef,local minimal card,minimal_rule,,,,,
37,item_548e537b26c34173817f64d30a8159fa,local minimal card,minimal_rule,,,,,
38,item_f0f168e256584f838ce6a884ecef71fa,local minimal card,minimal_rule,,,,,
39,item_eab1568f1b4e4ad182fef0c013400ca2,local minimal card,minimal_rule,,,,,
40,item_5f5a7e51928d45258ea11d416210dbd1,local minimal card,minimal_rule,,,,,
41,item_f66df0ce86dc438dbd8fb3ea61b0c7e7,local minimal card,minimal_rule,,,,,
42,item_5910f1e97d9448ddb8590c034ccedd8b,local minimal card,minimal_rule,,,,,
43,item_c99b1750d05e4f9695a74af5256ac247,local minimal card,minimal_rule,,,,,
44,item_795c6eb09fa548148beefab860e6eac5,local minimal card,minimal_rule,,,,,
45,item_5d486931be7d4fbea967aa30c9e9a873,local minimal card,minimal_rule,,,,,
46,item_6f345e30d3c14c74905821f473fa947a,local minimal card,minimal_rule,,,,,
47,item_8ee85d2686154898aea86d2942ef7da5,local minimal card,minimal_rule,,,,,
48,item_a4db6371a71c4c5c90c23c491f92dd67,local minimal card,minimal_rule,,,,,
49,item_a3d4c65506b948018487224d7efbae92,local minimal card,minimal_rule,,,,,
50,item_e4e4c2ff29804658ae42555a30ae72e8,local minimal card,minimal_rule,,,,,
51,item_f8b278f570434f288614b76f1b471128,local minimal card,minimal_rule,,,,,
52,item_2957efb7626b45efb9d92e10caf3be57,local minimal card,minimal_rule,,,,,
53,item_3cdd0eb409d64361aff360cc7729ef75,local minimal card,minimal_rule,,,,,
54,item_160e0b7b9a304c0aac2fd6c5b876660c,local minimal card,minimal_rule,,,,,
55,item_28972a2fb112468ca1f9ab3bfacd20cb,local minimal card,minimal_rule,,,,,
56,item_49fe570de6264dd3aa48c83bf9ecbcfd,local minimal card,minimal_rule,,,,,
57,item_df5a229f9279498c963ea31fa9b33fff,local minimal card,minimal_rule,,,,,
58,item_ef87aae4e1da47228b1273a7f61b60ab,local minimal card,minimal_rule,,,,,
59,item_deda3923e0484c8c916992757c76e3f0,local minimal card,minimal_rule,,,,,
60,item_f060e93cc4784bfbb7f17bc8e8e90a09,local minimal card,minimal_rule,,,,,
61,item_43c82cc3bbc84392b23442673275f92d,local minimal card,minimal_rule,,,,,
62,item_ee62d1d169874385a1e553f2ff4370ab,local minimal card,minimal_rule,,,,,
63,item_be04ee833fbb4765a80ad03aef141c03,local minimal card,minimal_rule,,,,,
64,item_275ba421741648c29d4db6a912efef5e,local minimal card,minimal_rule,,,,,
65,item_4c159ba7ab4f45fdbf934baba27eea8f,local minimal card,minimal_rule,,,,,
66,item_b3005d1253b347ee96a9fb02961a1e92,local minimal card,minimal_rule,,,,,
67,item_e5fab190ca2046d4ac3a51413ce075e6,local minimal card,minimal_rule,,,,,
68,item_c49d38dd0a4748cf8d4566faed131fad,local minimal card,minimal_rule,,,,,
69,item_30bd5f07d9994c2483c5ee828121dba5,local minimal card,minimal_rule,,,,,
70,item_60416046f51a459483570fd30de34dd9,local minimal card,minimal_rule,,,,,
71,item_0c35a16b3c684a0f8467ab44a11b54dd,local minimal card,minimal_rule,,,,,
72,item_34ef7058e03140c88c4be5e7f48b245e,local minimal card,minimal_rule,,,,,
73,item_ca940dbe128f4a8aaa77975d3376731e,local minimal card,minimal_rule,,,,,
74,item_a9996a9d3b424fb7b4ee6296395ccc5b,local minimal card,minimal_rule,,,,,
75,item_8c249e41759345819ebf615a2fe67f47,local minimal card,minimal_rule,,,,,
76,item_b37866ba97fc41b6b9e613ea04cc42f7,local minimal card,minimal_rule,,,,,
77,item_6f1ac53c1f904a959e808eff5227145b,local minimal card,minimal_rule,,,,,
78,item_48c4635f791c4420815b371a4f026f16,local minimal card,minimal_rule,,,,,
79,item_b1271671063b4e3bb14bc30b4f82762d,local minimal card,minimal_rule,,,,,
80,item_92ebdb60bdde4b6cae22f1e9c68ad4e2,local minimal card,minimal_rule,,,,,
81,item_93361df377b849cabd247bbcc6e78c85,local minimal card,minimal_rule,,,,,
82,item_399a53c96ae94608a6e5955ab0b05000,local minimal card,minimal_rule,,,,,
83,item_2dc19f840c3d452498d5188e7e47e94a,local minimal card,minimal_rule,,,,,
84,item_497e030288ff4252a1703e3e418af343,local minimal card,minimal_rule,,,,,
85,item_ba700286e40d4a4dbf30a4a45278a1f7,local minimal card,minimal_rule,,,,,
86,item_762795b0f1ce4f36a9c2ea365e21058d,local minimal card,minimal_rule,,,,,
87,item_147420228d964fad9aea829621dab76b,local minimal card,minimal_rule,,,,,
88,item_087c4e17cd8a46e182a2ad3a53218061,local minimal card,minimal_rule,,,,,
89,item_3029a40b280f420da38a603c6bafe017,local minimal card,minimal_rule,,,,,
90,item_8b985d087b194359b332bb0fd05241d2,local minimal card,minimal_rule,,,,,
91,item_7e8a799be69745edb9d979199b8412f9,local minimal card,minimal_rule,,,,,
92,item_eb7b74e0e5994033a31d6ed827dbee63,local minimal card,minimal_rule,,,,,
93,item_884c82a5b33e4b6c93876762aad088bd,local minimal card,minimal_rule,,,,,
94,item_8b7eea7fab824a65bde0321f830a9a98,local minimal card,minimal_rule,,,,,
95,item_0efcd0b53d704bf7b72cb76b17f592b7,local minimal card,minimal_rule,,,,,
96,item_a512191d8ed64739ac80d6eaf2c69d49,local minimal card,minimal_rule,,,,,
